tensor(1.1489, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0550, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0919, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0682, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0812, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0580, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0542, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0466, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1233, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1417, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.3436, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0510, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.3318, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0698, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0304, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0473, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0170, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0682, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1449, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0239, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0887, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0262, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0493, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1242, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0868, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0994, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0314, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1266, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0403, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0335, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0487, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0328, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0954, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0582, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0400, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.2095, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0425, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0426, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1871, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0707, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1205, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0581, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0346, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0533, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0474, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0271, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0897, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0200, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0356, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.2025, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0831, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5380, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0319, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0283, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0321, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0580, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0786, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0402, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0370, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1228, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0657, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0396, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0224, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0259, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0267, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0288, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0379, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0239, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0268, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0341, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0189, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0371, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0372, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0557, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1795, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0410, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0268, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0344, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0156, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1020, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0299, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0248, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0449, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0170, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1551, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0396, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0467, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0124, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0127, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1138, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0390, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0463, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0608, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0203, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0444, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0322, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0496, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0586, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1262, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0857, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0310, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0308, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0830, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0304, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0462, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0267, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0245, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0272, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0319, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0442, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0511, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0658, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0399, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0504, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.3561, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0431, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0696, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0295, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0216, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0310, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0418, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0471, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0686, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0246, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0385, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0243, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0282, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0267, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0312, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0841, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1084, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0385, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0266, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0486, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0189, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0131, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0250, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0123, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0170, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0119, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0406, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0219, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0314, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0502, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1692, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0226, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1257, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0387, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0125, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0320, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0241, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0429, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0136, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0389, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0342, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0440, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0694, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0404, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0164, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0266, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0186, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0635, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1436, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0348, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0503, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0228, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0398, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0351, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0151, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0693, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0429, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0519, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0297, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0160, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0478, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0352, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0836, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0083, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0937, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0275, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0382, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0299, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0229, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0234, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0167, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1107, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0516, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0263, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0117, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0598, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0363, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.2662, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0482, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0332, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0458, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0145, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1377, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0204, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0220, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0134, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0224, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0853, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0255, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0125, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0205, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0178, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0127, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0618, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1866, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0121, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0214, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0201, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0305, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0576, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0271, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0372, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0114, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0378, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0486, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0157, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0180, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0163, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0297, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0111, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0533, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0175, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0542, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0175, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0261, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0200, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0286, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0202, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0134, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0177, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0251, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0317, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0244, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0159, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0161, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0110, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1214, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0108, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0184, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0166, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0124, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0156, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0325, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0174, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0300, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0159, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0219, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0115, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0257, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0330, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0443, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0135, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0229, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0222, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0314, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0117, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0275, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0134, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0610, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0313, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0563, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0114, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0143, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0561, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0097, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0303, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0435, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0334, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0213, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0088, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0176, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0154, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0377, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0129, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0232, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0171, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0190, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0097, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0090, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0239, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0346, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0286, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0211, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0220, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0277, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0282, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0128, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0480, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0174, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1790, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0595, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0106, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0221, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0129, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0811, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0104, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0274, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0201, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0522, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0292, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0305, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0152, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0325, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0181, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0160, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0382, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0401, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0109, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5865, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0542, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0168, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0657, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0470, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0230, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0611, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0130, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0108, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0999, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0243, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1202, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0151, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0180, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0517, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0159, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0159, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.0504, device='cuda:0', grad_fn=<AddBackward0>)
